id,Name,Code
1,알테오젠,196170
2,에코프로비엠,247540
3,에코프로,086520
4,레인보우로보틱스,277810
5,펩트론,087010
6,HLB,028300
7,에이비엘바이오,298380
8,리가켐바이오,141080
9,삼천당제약,000250
10,파마리서치,214450
11,리노공업,058470
12,보로노이,310210
13,코오롱티슈진,950160
14,케어젠,214370
15,원익IPS,240810
16,이오테크닉스,039030
17,디앤디파마텍,347850
18,클래시스,214150
19,로보티즈,108490
20,셀트리온제약,068760
21,HPSP,403870
22,휴젤,145020
23,JYP Ent.,035900
24,실리콘투,257720
25,올릭스,226950
26,에스엠,041510
27,원익홀딩스,030530
28,젬백스,082270
29,유진테크,084370
30,펄어비스,263750
31,테크윙,089030
32,메지온,140410
33,심텍,222800
34,솔브레인,357780
35,에스티팜,237690
36,동진쎄미켐,005290
37,하나마이크론,067310
38,오스코텍,039200
39,티씨케이,064760
40,엔켐,348370
41,ISC,095340
42,네이처셀,007390
43,하이젠알앤엠,160190
44,신성델타테크,065350
45,제이앤티씨,204270
46,LS마린솔루션,060370
47,파크시스템스,140860
48,카카오게임즈,293490
49,HK이노엔,195940
50,서진시스템,178320
51,CJ ENM,035760
52,주성엔지니어링,036930
53,와이지엔터테인먼트,122870
54,씨젠,096530
55,루닛,328130
56,비에이치아이,083650
57,큐리옥스바이오시스템즈,445680
58,고영,098460
59,엘앤씨바이오,290650
60,에스앤에스텍,101490
61,스튜디오드래곤,253450
62,파두,440110
63,노타,486990
64,씨어스테크놀로지,458870
65,필옵틱스,161580
66,대주전자재료,078600
67,코미코,183300
68,오름테라퓨틱,475830
69,와이씨,232140
70,피에스케이,319660
71,태성,323280
72,현대무벡스,319400
73,피엔티,137400
74,피에스케이홀딩스,031980
75,지아이이노베이션,358570
76,덕산네오룩스,213420
77,동성화인텍,033500
78,차바이오텍,085660
79,클로봇,466100
80,레이크머티리얼즈,281740
81,유일로보틱스,388720
82,RFHIC,218410
83,위메이드,112040
84,두산테스나,131970
85,LS머트리얼즈,417200
86,넥슨게임즈,225570
87,메디톡스,086900
88,삼현,437730
89,에스에프에이,056190
90,하림지주,003380
91,솔브레인홀딩스,036830
92,코스메카코리아,241710
93,인투셀,287840
94,브이티,018290
95,디어유,376300
96,SOOP,067160
97,테스,095610
98,동국제약,086450
99,카페24,042000
100,큐리언트,115180
101,에이프릴바이오,397030
