id,Name,Code
1,삼성전자,005930
2,SK하이닉스,000660
3,LG에너지솔루션,373220
4,삼성바이오로직스,207940
5,삼성전자우,005935
6,현대차,005380
7,두산에너빌리티,034020
8,한화에어로스페이스,012450
9,KB금융,105560
10,HD현대중공업,329180
11,기아,000270
12,NAVER,035420
13,셀트리온,068270
14,한화오션,042660
15,신한지주,055550
16,SK스퀘어,402340
17,삼성물산,028260
18,삼성생명,032830
19,HD현대일렉트릭,267260
20,HD한국조선해양,009540
21,한국전력,015760
22,카카오,035720
23,LG화학,051910
24,현대모비스,012330
25,하나금융지주,086790
26,삼성SDI,006400
27,POSCO홀딩스,005490
28,삼성중공업,010140
29,삼성화재,000810
30,현대로템,064350
31,효성중공업,298040
32,메리츠금융지주,138040
33,고려아연,010130
34,SK이노베이션,096770
35,우리금융지주,316140
36,HMM,011200
37,포스코퓨처엠,003670
38,SK,034730
39,삼성전기,009150
40,HD현대,267250
41,KT&G,033780
42,기업은행,024110
43,두산,000150
44,LG전자,066570
45,LS ELECTRIC,010120
46,미래에셋증권,006800
47,삼성에스디에스,018260
48,하이브,352820
49,LG,003550
50,크래프톤,259960
51,KT,030200
52,한미반도체,042700
53,현대글로비스,086280
54,SK텔레콤,017670
55,카카오뱅크,323410
56,한화시스템,272210
57,HD현대마린솔루션,443060
58,DB손해보험,005830
59,삼양식품,003230
60,한국항공우주,047810
61,유한양행,000100
62,SK바이오팜,326030
63,한국금융지주,071050
64,포스코인터내셔널,047050
65,LIG넥스원,079550
66,에이피알,278470
67,S-Oil,010950
68,HD현대미포,010620
69,대한항공,003490
70,이수페타시스,007660
71,키움증권,039490
72,아모레퍼시픽,090430
73,NH투자증권,005940
74,현대건설,000720
75,카카오페이,377300
76,현대차2우B,005387
77,한진칼,180640
78,LG유플러스,032640
79,LG디스플레이,034220
80,삼성증권,016360
81,한화,000880
82,코웨이,021240
83,LS,006260
84,한국타이어앤테크놀로지,161390
85,LG이노텍,011070
86,삼성카드,029780
87,한미약품,128940
88,두산밥캣,241560
89,맥쿼리인프라,088980
90,LG씨엔에스,064400
91,현대오토에버,307950
92,삼성E&A,028050
93,두산로보틱스,454910
94,CJ,001040
95,엘앤에프,066970
96,엔씨소프트,036570
97,GS,078930
98,BNK금융지주,138930
99,대한전선,001440
100,현대차우,005385
101,한화솔루션,009830
102,LG생활건강,051900
103,JB금융지주,175330
104,넷마블,251270
